,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
ANGRA DOS REIS,112,33.6,221,66.4,217,65.2,116,34.8,0.0,0.0,0.0,0.0,200,60.1,64,19.2,68,20.4,1.0,0.3
APERIBÉ,19,35.2,35,64.8,43,79.6,11,20.4,0.0,0.0,0.0,0.0,18,33.3,30,55.6,6,11.1,0.0,0.0
ARARUAMA,108,32.2,227,67.8,134,40.0,200,59.7,0.0,0.0,1.0,0.3,144,43.0,86,25.7,105,31.3,0.0,0.0
AREAL,37,35.6,67,64.4,78,75.0,26,25.0,0.0,0.0,0.0,0.0,53,51.0,28,26.9,23,22.1,0.0,0.0
ARMAÇÃO DOS BÚZIOS,57,36.3,100,63.7,99,63.1,57,36.3,0.0,0.0,1.0,0.6,80,51.0,34,21.7,42,26.8,1.0,0.6
ARRAIAL DO CABO,45,34.4,86,65.6,91,69.5,40,30.5,0.0,0.0,0.0,0.0,77,58.8,21,16.0,33,25.2,0.0,0.0
BARRA DO PIRAÍ,108,32.3,226,67.7,138,41.3,192,57.5,3.0,0.9,1.0,0.3,156,46.7,102,30.5,75,22.5,1.0,0.3
BARRA MANSA,147,31.5,319,68.5,269,57.7,194,41.6,1.0,0.2,2.0,0.4,225,48.3,137,29.4,102,21.9,2.0,0.4
BELFORD ROXO,214,32.4,447,67.6,234,35.4,420,63.5,4.0,0.6,3.0,0.5,317,48.0,217,32.8,101,15.3,26.0,3.9
BOM JARDIM,36,30.3,83,69.7,102,85.7,17,14.3,0.0,0.0,0.0,0.0,37,31.1,64,53.8,18,15.1,0.0,0.0
BOM JESUS DO ITABAPOANA,64,32.3,134,67.7,140,70.7,58,29.3,0.0,0.0,0.0,0.0,97,49.0,56,28.3,45,22.7,0.0,0.0
CABO FRIO,108,31.4,236,68.6,229,66.6,115,33.4,0.0,0.0,0.0,0.0,177,51.5,86,25.0,80,23.3,1.0,0.3
CACHOEIRAS DE MACACU,66,33.5,131,66.5,118,59.9,79,40.1,0.0,0.0,0.0,0.0,110,55.8,50,25.4,37,18.8,0.0,0.0
CAMBUCI,24,33.3,48,66.7,52,72.2,20,27.8,0.0,0.0,0.0,0.0,37,51.4,25,34.7,10,13.9,0.0,0.0
CAMPOS DOS GOYTACAZES,189,31.7,408,68.3,294,49.2,300,50.3,3.0,0.5,0.0,0.0,305,51.1,123,20.6,167,28.0,2.0,0.3
CANTAGALO,22,32.8,45,67.2,46,68.7,21,31.3,0.0,0.0,0.0,0.0,32,47.8,22,32.8,13,19.4,0.0,0.0
CARAPEBUS,47,33.6,93,66.4,76,54.3,56,40.0,8.0,5.7,0.0,0.0,75,53.6,28,20.0,28,20.0,9.0,6.4
CARDOSO MOREIRA,36,36.0,64,64.0,76,76.0,23,23.0,1.0,1.0,0.0,0.0,58,58.0,26,26.0,7,7.0,9.0,9.0
CARMO,57,37.3,96,62.7,98,64.1,55,35.9,0.0,0.0,0.0,0.0,70,45.8,54,35.3,29,19.0,0.0,0.0
CASIMIRO DE ABREU,53,33.3,106,66.7,88,55.3,70,44.0,1.0,0.6,0.0,0.0,80,50.3,50,31.4,29,18.2,0.0,0.0
COMENDADOR LEVY GASPARIAN,44,37.0,75,63.0,50,42.0,69,58.0,0.0,0.0,0.0,0.0,47,39.5,58,48.7,14,11.8,0.0,0.0
CONCEIÇÃO DE MACABU,45,31.9,96,68.1,73,51.8,68,48.2,0.0,0.0,0.0,0.0,82,58.2,37,26.2,21,14.9,1.0,0.7
CORDEIRO,38,36.2,67,63.8,75,71.4,30,28.6,0.0,0.0,0.0,0.0,61,58.1,30,28.6,14,13.3,0.0,0.0
DUAS BARRAS,17,34.0,33,66.0,47,94.0,3,6.0,0.0,0.0,0.0,0.0,22,44.0,20,40.0,8,16.0,0.0,0.0
DUQUE DE CAXIAS,262,31.5,571,68.5,364,43.7,464,55.7,1.0,0.1,4.0,0.5,404,48.5,202,24.2,217,26.1,10.0,1.2
ENGENHEIRO PAULO DE FRONTIN,40,32.5,83,67.5,88,71.5,35,28.5,0.0,0.0,0.0,0.0,58,47.2,38,30.9,27,22.0,0.0,0.0
GUAPIMIRIM,70,33.0,142,67.0,85,40.1,127,59.9,0.0,0.0,0.0,0.0,98,46.2,80,37.7,33,15.6,1.0,0.5
IGUABA GRANDE,56,32.2,118,67.8,122,70.1,52,29.9,0.0,0.0,0.0,0.0,84,48.3,40,23.0,50,28.7,0.0,0.0
ITABORAÍ,103,30.7,232,69.3,142,42.4,193,57.6,0.0,0.0,0.0,0.0,163,48.7,83,24.8,88,26.3,1.0,0.3
ITAGUAÍ,120,31.4,262,68.6,203,53.1,179,46.9,0.0,0.0,0.0,0.0,186,48.7,81,21.2,115,30.1,0.0,0.0
ITALVA,34,34.0,66,66.0,65,65.0,35,35.0,0.0,0.0,0.0,0.0,42,42.0,45,45.0,12,12.0,1.0,1.0
ITAOCARA,42,31.6,91,68.4,106,79.7,27,20.3,0.0,0.0,0.0,0.0,69,51.9,41,30.8,23,17.3,0.0,0.0
ITAPERUNA,64,32.0,136,68.0,90,45.0,110,55.0,0.0,0.0,0.0,0.0,96,48.0,53,26.5,38,19.0,13.0,6.5
ITATIAIA,71,32.3,149,67.7,135,61.4,84,38.2,0.0,0.0,1.0,0.5,128,58.2,52,23.6,40,18.2,0.0,0.0
JAPERI,101,32.8,207,67.2,107,34.7,200,64.9,1.0,0.3,0.0,0.0,173,56.2,92,29.9,42,13.6,1.0,0.3
LAJE DO MURIAÉ,33,33.3,66,66.7,44,44.4,55,55.6,0.0,0.0,0.0,0.0,52,52.5,30,30.3,15,15.2,2.0,2.0
MACAÉ,81,30.8,182,69.2,140,53.2,123,46.8,0.0,0.0,0.0,0.0,126,47.9,51,19.4,82,31.2,4.0,1.5
MACUCO,20,33.9,39,66.1,31,52.5,28,47.5,0.0,0.0,0.0,0.0,35,59.3,17,28.8,7,11.9,0.0,0.0
MAGÉ,127,32.0,270,68.0,181,45.6,216,54.4,0.0,0.0,0.0,0.0,215,54.2,100,25.2,79,19.9,3.0,0.8
MANGARATIBA,75,31.6,162,68.4,105,44.3,130,54.9,1.0,0.4,1.0,0.4,112,47.3,53,22.4,66,27.8,6.0,2.5
MARICÁ,90,30.7,203,69.3,174,59.4,119,40.6,0.0,0.0,0.0,0.0,149,50.9,45,15.4,99,33.8,0.0,0.0
MENDES,51,34.0,99,66.0,92,61.3,58,38.7,0.0,0.0,0.0,0.0,67,44.7,37,24.7,46,30.7,0.0,0.0
MESQUITA,100,32.8,205,67.2,112,36.7,193,63.3,0.0,0.0,0.0,0.0,161,52.8,72,23.6,72,23.6,0.0,0.0
MIGUEL PEREIRA,71,34.3,136,65.7,136,65.7,71,34.3,0.0,0.0,0.0,0.0,94,45.4,49,23.7,64,30.9,0.0,0.0
MIRACEMA,48,32.4,100,67.6,69,46.6,79,53.4,0.0,0.0,0.0,0.0,83,56.1,36,24.3,29,19.6,0.0,0.0
NATIVIDADE,29,31.2,64,68.8,61,65.6,32,34.4,0.0,0.0,0.0,0.0,60,64.5,17,18.3,16,17.2,0.0,0.0
NILÓPOLIS,102,35.3,187,64.7,143,49.5,146,50.5,0.0,0.0,0.0,0.0,152,52.6,55,19.0,82,28.4,0.0,0.0
NITERÓI,126,31.8,270,68.2,257,64.9,138,34.8,0.0,0.0,1.0,0.3,137,34.6,48,12.1,208,52.5,3.0,0.8
NOVA FRIBURGO,116,32.1,245,67.9,266,73.7,95,26.3,0.0,0.0,0.0,0.0,121,33.5,143,39.6,93,25.8,4.0,1.1
NOVA IGUAÇU,125,31.4,273,68.6,202,50.8,195,49.0,1.0,0.3,0.0,0.0,235,59.0,61,15.3,102,25.6,0.0,0.0
PARACAMBI,52,33.8,102,66.2,67,43.5,87,56.5,0.0,0.0,0.0,0.0,77,50.0,31,20.1,34,22.1,12.0,7.8
PARATY,62,32.6,128,67.4,103,54.2,82,43.2,5.0,2.6,0.0,0.0,82,43.2,78,41.1,29,15.3,1.0,0.5
PARAÍBA DO SUL,70,32.3,147,67.7,113,52.1,104,47.9,0.0,0.0,0.0,0.0,106,48.8,63,29.0,48,22.1,0.0,0.0
PATY DO ALFERES,61,33.0,124,67.0,110,59.5,75,40.5,0.0,0.0,0.0,0.0,89,48.1,59,31.9,37,20.0,0.0,0.0
PETRÓPOLIS,73,30.7,165,69.3,179,75.2,59,24.8,0.0,0.0,0.0,0.0,88,37.0,71,29.8,76,31.9,3.0,1.3
PINHEIRAL,43,34.4,82,65.6,55,44.0,70,56.0,0.0,0.0,0.0,0.0,65,52.0,32,25.6,28,22.4,0.0,0.0
PIRAÍ,53,32.5,110,67.5,93,57.1,70,42.9,0.0,0.0,0.0,0.0,71,43.6,64,39.3,27,16.6,1.0,0.6
PORCIÚNCULA,27,32.1,57,67.9,51,60.7,33,39.3,0.0,0.0,0.0,0.0,46,54.8,25,29.8,13,15.5,0.0,0.0
PORTO REAL,49,32.5,102,67.5,95,62.9,56,37.1,0.0,0.0,0.0,0.0,63,41.7,51,33.8,36,23.8,1.0,0.7
QUATIS,38,34.9,71,65.1,60,55.0,48,44.0,1.0,0.9,0.0,0.0,56,51.4,30,27.5,22,20.2,1.0,0.9
QUEIMADOS,84,30.7,190,69.3,100,36.5,163,59.5,10.0,3.6,1.0,0.4,160,58.4,68,24.8,46,16.8,0.0,0.0
QUISSAMÃ,38,35.5,69,64.5,32,29.9,75,70.1,0.0,0.0,0.0,0.0,55,51.4,28,26.2,21,19.6,3.0,2.8
