,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
DEMOCRATAS,259,31.9,554,68.1,460,56.6,352,43.3,0.0,0.0,1.0,0.1,373.0,45.9,228.0,28.0,210,25.8,2.0,0.2
PARTIDO COMUNISTA BRASILEIRO,1,33.3,2,66.7,2,66.7,1,33.3,0.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,2,66.7,0.0,0.0
PARTIDO COMUNISTA DO BRASIL,139,32.8,285,67.2,215,50.7,208,49.1,0.0,0.0,1.0,0.2,184.0,43.4,119.0,28.1,118,27.8,3.0,0.7
PARTIDO DA CAUSA OPERÁRIA,2,50.0,2,50.0,2,50.0,2,50.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,2,50.0,0.0,0.0
PARTIDO DA MOBILIZAÇÃO NACIONAL,114,31.5,248,68.5,146,40.3,216,59.7,0.0,0.0,0.0,0.0,182.0,50.3,88.0,24.3,92,25.4,0.0,0.0
PARTIDO DA MULHER BRASILEIRA,220,40.1,329,59.9,257,46.8,282,51.4,9.0,1.6,1.0,0.2,274.0,49.9,147.0,26.8,109,19.9,19.0,3.5
PARTIDO DA REPÚBLICA,278,33.6,549,66.4,463,56.0,363,43.9,1.0,0.1,0.0,0.0,417.0,50.4,230.0,27.8,175,21.2,5.0,0.6
PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,352,34.2,678,65.8,586,56.9,439,42.6,4.0,0.4,1.0,0.1,474.0,46.0,243.0,23.6,304,29.5,9.0,0.9
PARTIDO DEMOCRÁTICO TRABALHISTA,319,31.9,682,68.1,570,56.9,424,42.4,7.0,0.7,0.0,0.0,479.0,47.9,238.0,23.8,278,27.8,6.0,0.6
PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,392,32.5,813,67.5,772,64.1,429,35.6,3.0,0.2,1.0,0.1,537.0,44.6,291.0,24.1,367,30.5,10.0,0.8
PARTIDO DOS TRABALHADORES,165,34.7,310,65.3,243,51.2,229,48.2,0.0,0.0,3.0,0.6,213.0,44.8,95.0,20.0,162,34.1,5.0,1.1
PARTIDO ECOLÓGICO NACIONAL,149,30.8,335,69.2,240,49.6,244,50.4,0.0,0.0,0.0,0.0,235.0,48.6,138.0,28.5,110,22.7,1.0,0.2
PARTIDO HUMANISTA DA SOLIDARIEDADE,233,31.5,506,68.5,440,59.5,299,40.5,0.0,0.0,0.0,0.0,356.0,48.2,202.0,27.3,177,24.0,4.0,0.5
PARTIDO NOVO,10,32.3,21,67.7,29,93.5,2,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,100.0,0.0,0.0
PARTIDO POPULAR SOCIALISTA,277,32.1,585,67.9,464,53.8,397,46.1,1.0,0.1,0.0,0.0,408.0,47.3,213.0,24.7,235,27.3,6.0,0.7
PARTIDO PROGRESSISTA,374,33.1,755,66.9,701,62.1,427,37.8,1.0,0.1,0.0,0.0,527.0,46.7,294.0,26.0,297,26.3,11.0,1.0
PARTIDO PÁTRIA LIVRE,111,33.9,216,66.1,147,45.0,178,54.4,2.0,0.6,0.0,0.0,183.0,56.0,83.0,25.4,60,18.3,1.0,0.3
PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,184,31.3,404,68.7,284,48.3,304,51.7,0.0,0.0,0.0,0.0,297.0,50.5,167.0,28.4,121,20.6,3.0,0.5
PARTIDO REPUBLICANO BRASILEIRO,328,31.7,707,68.3,505,48.8,529,51.1,1.0,0.1,0.0,0.0,532.0,51.4,255.0,24.6,244,23.6,4.0,0.4
PARTIDO REPUBLICANO DA ORDEM SOCIAL,113,28.8,280,71.2,235,59.8,155,39.4,3.0,0.8,0.0,0.0,195.0,49.6,94.0,23.9,102,26.0,2.0,0.5
PARTIDO REPUBLICANO PROGRESSISTA,194,31.9,415,68.1,329,54.0,276,45.3,2.0,0.3,2.0,0.3,313.0,51.4,155.0,25.5,138,22.7,3.0,0.5
PARTIDO SOCIAL CRISTÃO,248,30.7,561,69.3,429,53.0,377,46.6,2.0,0.2,1.0,0.1,423.0,52.3,185.0,22.9,197,24.4,4.0,0.5
PARTIDO SOCIAL DEMOCRATA CRISTÃO,206,30.6,467,69.4,345,51.3,322,47.8,2.0,0.3,4.0,0.6,329.0,48.9,198.0,29.4,135,20.1,11.0,1.6
PARTIDO SOCIAL DEMOCRÁTICO,178,30.5,405,69.5,319,54.7,259,44.4,3.0,0.5,2.0,0.3,261.0,44.8,154.0,26.4,167,28.6,1.0,0.2
PARTIDO SOCIAL LIBERAL,141,30.5,322,69.5,229,49.5,232,50.1,2.0,0.4,0.0,0.0,239.0,51.6,133.0,28.7,75,16.2,16.0,3.5
PARTIDO SOCIALISMO E LIBERDADE,147,34.8,275,65.2,217,51.4,205,48.6,0.0,0.0,0.0,0.0,154.0,36.5,94.0,22.3,172,40.8,2.0,0.5
PARTIDO SOCIALISTA BRASILEIRO,309,32.8,634,67.2,596,63.2,340,36.1,7.0,0.7,0.0,0.0,448.0,47.5,220.0,23.3,265,28.1,10.0,1.1
PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,9,47.4,10,52.6,9,47.4,10,52.6,0.0,0.0,0.0,0.0,5.0,26.3,2.0,10.5,12,63.2,0.0,0.0
PARTIDO TRABALHISTA BRASILEIRO,293,32.5,608,67.5,517,57.4,382,42.4,2.0,0.2,0.0,0.0,451.0,50.1,236.0,26.2,206,22.9,8.0,0.9
PARTIDO TRABALHISTA CRISTÃO,152,33.2,306,66.8,202,44.1,255,55.7,0.0,0.0,1.0,0.2,233.0,50.9,120.0,26.2,99,21.6,6.0,1.3
PARTIDO TRABALHISTA DO BRASIL,215,31.0,478,69.0,323,46.6,367,53.0,2.0,0.3,1.0,0.1,346.0,49.9,190.0,27.4,154,22.2,3.0,0.4
PARTIDO TRABALHISTA NACIONAL,214,33.5,424,66.5,370,58.0,268,42.0,0.0,0.0,0.0,0.0,316.0,49.5,188.0,29.5,128,20.1,6.0,0.9
PARTIDO VERDE,213,31.6,461,68.4,402,59.6,269,39.9,0.0,0.0,3.0,0.4,293.0,43.5,172.0,25.5,205,30.4,4.0,0.6
REDE SUSTENTABILIDADE,137,31.1,304,68.9,253,57.4,188,42.6,0.0,0.0,0.0,0.0,189.0,42.9,76.0,17.2,176,39.9,0.0,0.0
SOLIDARIEDADE,256,32.5,532,67.5,411,52.2,372,47.2,1.0,0.1,4.0,0.5,372.0,47.2,229.0,29.1,180,22.8,7.0,0.9
