,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE,VR_DESPESA_MAX_CAMPANHA
0,VEREADOR,JAQUELINE MACHADO VIEIRA,#NULO#,SOLIDARIEDADE,FEMININO,BRANCA,20,ENSINO MÉDIO COMPLETO,SÃO PEDRO DA ALDEIA,-1
1,VEREADOR,MARIA DAS GRAÇAS MACHADO DUTRA DA SILVA,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,FEMININO,BRANCA,47,ENSINO MÉDIO COMPLETO,BOM JARDIM,-1
2,VEREADOR,MANOEL IVAN BEZERRA PEREIRA,#NULO#,PARTIDO ECOLÓGICO NACIONAL,MASCULINO,BRANCA,64,SUPERIOR COMPLETO,RESENDE,-1
3,VEREADOR,ALBERTO DOS REIS,#NULO#,PARTIDO DA MULHER BRASILEIRA,MASCULINO,NEGRA,64,ENSINO MÉDIO COMPLETO,SÃO GONÇALO,-1
4,VEREADOR,EDIANA LÚCIA FRANCISCA CHAGAS,#NULO#,PARTIDO PÁTRIA LIVRE,FEMININO,NEGRA,54,LÊ E ESCREVE,QUISSAMÃ,-1
5,VEREADOR,DELANO EMANOEL BASTOS,#NULO#,PARTIDO DA MULHER BRASILEIRA,MASCULINO,NEGRA,67,ENSINO MÉDIO COMPLETO,LAJE DO MURIAÉ,-1
6,VEREADOR,SOLANGE SILVA DOS SANTOS,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,FEMININO,NEGRA,55,ENSINO MÉDIO COMPLETO,RIO DE JANEIRO,-1
7,VEREADOR,MARIA DE LOURDES DE ALMEIDA AMORIM,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FEMININO,BRANCA,50,ENSINO MÉDIO COMPLETO,CACHOEIRAS DE MACACU,0
8,VEREADOR,JOACYR DOS REIS NOGUEIRA,#NULO#,PARTIDO REPUBLICANO PROGRESSISTA,MASCULINO,NEGRA,55,SUPERIOR COMPLETO,BELFORD ROXO,-1
9,VEREADOR,SANDRA CAVALCANTI LIZA,#NULO#,PARTIDO POPULAR SOCIALISTA,FEMININO,NEGRA,55,ENSINO FUNDAMENTAL COMPLETO,MANGARATIBA,0
10,VEREADOR,ROSEMERY DE SOUZA PINA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FEMININO,NEGRA,49,ENSINO FUNDAMENTAL INCOMPLETO,JAPERI,-1
11,VEREADOR,NORMA ALMO DA SILVA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,NEGRA,53,ENSINO MÉDIO INCOMPLETO,SÃO PEDRO DA ALDEIA,-1
12,VEREADOR,JOSIANI MOREIRA DA SILVA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FEMININO,BRANCA,38,ENSINO MÉDIO COMPLETO,SANTO ANTÔNIO DE PÁDUA,-1
13,VEREADOR,BRUNO RONZEI PEREZ,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,27,ENSINO MÉDIO COMPLETO,SANTO ANTÔNIO DE PÁDUA,-1
