NM_UE,FEMININO,MASCULINO,TOTAL
ANGRA DOS REIS,33.6,66.4,100%
APERIBÉ,35.2,64.8,100%
ARARUAMA,32.2,67.8,100%
AREAL,35.6,64.4,100%
ARMAÇÃO DOS BÚZIOS,36.3,63.7,100%
ARRAIAL DO CABO,34.4,65.6,100%
BARRA DO PIRAÍ,32.3,67.7,100%
BARRA MANSA,31.5,68.5,100%
BELFORD ROXO,32.4,67.6,100%
BOM JARDIM,30.3,69.7,100%
BOM JESUS DO ITABAPOANA,32.3,67.7,100%
CABO FRIO,31.4,68.6,100%
CACHOEIRAS DE MACACU,33.5,66.5,100%
CAMBUCI,33.3,66.7,100%
CAMPOS DOS GOYTACAZES,31.7,68.3,100%
CANTAGALO,32.8,67.2,100%
CARAPEBUS,33.6,66.4,100%
CARDOSO MOREIRA,36.0,64.0,100%
CARMO,37.3,62.7,100%
CASIMIRO DE ABREU,33.3,66.7,100%
COMENDADOR LEVY GASPARIAN,37.0,63.0,100%
CONCEIÇÃO DE MACABU,31.9,68.1,100%
CORDEIRO,36.2,63.8,100%
DUAS BARRAS,34.0,66.0,100%
DUQUE DE CAXIAS,31.5,68.5,100%
ENGENHEIRO PAULO DE FRONTIN,32.5,67.5,100%
GUAPIMIRIM,33.0,67.0,100%
IGUABA GRANDE,32.2,67.8,100%
ITABORAÍ,30.7,69.3,100%
ITAGUAÍ,31.4,68.6,100%
ITALVA,34.0,66.0,100%
ITAOCARA,31.6,68.4,100%
ITAPERUNA,32.0,68.0,100%
ITATIAIA,32.3,67.7,100%
JAPERI,32.8,67.2,100%
LAJE DO MURIAÉ,33.3,66.7,100%
MACAÉ,30.8,69.2,100%
MACUCO,33.9,66.1,100%
MAGÉ,32.0,68.0,100%
MANGARATIBA,31.6,68.4,100%
MARICÁ,30.7,69.3,100%
MENDES,34.0,66.0,100%
MESQUITA,32.8,67.2,100%
MIGUEL PEREIRA,34.3,65.7,100%
MIRACEMA,32.4,67.6,100%
NATIVIDADE,31.2,68.8,100%
NILÓPOLIS,35.3,64.7,100%
NITERÓI,31.8,68.2,100%
NOVA FRIBURGO,32.1,67.9,100%
NOVA IGUAÇU,31.4,68.6,100%
PARACAMBI,33.8,66.2,100%
PARATY,32.6,67.4,100%
PARAÍBA DO SUL,32.3,67.7,100%
PATY DO ALFERES,33.0,67.0,100%
PETRÓPOLIS,30.7,69.3,100%
PINHEIRAL,34.4,65.6,100%
PIRAÍ,32.5,67.5,100%
PORCIÚNCULA,32.1,67.9,100%
PORTO REAL,32.5,67.5,100%
QUATIS,34.9,65.1,100%
QUEIMADOS,30.7,69.3,100%
QUISSAMÃ,35.5,64.5,100%
RESENDE,31.5,68.5,100%
RIO BONITO,31.6,68.4,100%
RIO CLARO,35.2,64.8,100%
RIO DAS FLORES,35.4,64.6,100%
RIO DAS OSTRAS,31.6,68.4,100%
RIO DE JANEIRO,31.4,68.6,100%
SANTA MARIA MADALENA,33.3,66.7,100%
SANTO ANTÔNIO DE PÁDUA,31.4,68.6,100%
SAPUCAIA,33.8,66.2,100%
SAQUAREMA,31.0,69.0,100%
SEROPÉDICA,30.1,69.9,100%
SILVA JARDIM,34.3,65.7,100%
SUMIDOURO,37.5,62.5,100%
SÃO FIDÉLIS,32.3,67.7,100%
SÃO FRANCISCO DE ITABAPOANA,33.1,66.9,100%
SÃO GONÇALO,31.4,68.6,100%
SÃO JOSÉ DE UBÁ,36.5,63.5,100%
SÃO JOSÉ DO VALE DO RIO PRETO,34.1,65.9,100%
SÃO JOÃO DA BARRA,34.3,65.7,100%
SÃO JOÃO DE MERITI,31.7,68.3,100%
SÃO PEDRO DA ALDEIA,34.1,65.9,100%
SÃO SEBASTIÃO DO ALTO,33.3,66.7,100%
TANGUÁ,31.4,68.6,100%
TERESÓPOLIS,33.8,66.2,100%
TRAJANO DE MORAES,32.2,67.8,100%
TRÊS RIOS,30.9,69.1,100%
VALENÇA,35.7,64.3,100%
VARRE-SAI,32.7,67.3,100%
VASSOURAS,33.1,66.9,100%
VOLTA REDONDA,32.5,67.5,100%
