NM_UE,PRETA,PARDA,BRANCA,AMARELA,INDÍGENA,TOTAL
ANGRA DOS REIS,9.6,25.2,65.2,0.0,0.0,100%
APERIBÉ,7.4,13.0,79.6,0.0,0.0,100%
ARARUAMA,13.7,46.0,40.0,0.0,0.3,100%
AREAL,14.4,10.6,75.0,0.0,0.0,100%
ARMAÇÃO DOS BÚZIOS,17.2,19.1,63.1,0.0,0.6,100%
ARRAIAL DO CABO,3.8,26.7,69.5,0.0,0.0,100%
BARRA DO PIRAÍ,25.4,32.0,41.3,0.9,0.3,100%
BARRA MANSA,21.7,20.0,57.7,0.2,0.4,100%
BELFORD ROXO,14.5,49.0,35.4,0.6,0.5,100%
BOM JARDIM,9.2,5.0,85.7,0.0,0.0,100%
BOM JESUS DO ITABAPOANA,14.1,15.2,70.7,0.0,0.0,100%
CABO FRIO,15.7,17.7,66.6,0.0,0.0,100%
CACHOEIRAS DE MACACU,10.2,29.9,59.9,0.0,0.0,100%
CAMBUCI,18.1,9.7,72.2,0.0,0.0,100%
CAMPOS DOS GOYTACAZES,17.8,32.5,49.2,0.5,0.0,100%
CANTAGALO,20.9,10.4,68.7,0.0,0.0,100%
CARAPEBUS,13.6,26.4,54.3,5.7,0.0,100%
CARDOSO MOREIRA,8.0,15.0,76.0,1.0,0.0,100%
CARMO,18.3,17.6,64.1,0.0,0.0,100%
CASIMIRO DE ABREU,12.6,31.4,55.3,0.6,0.0,100%
COMENDADOR LEVY GASPARIAN,24.4,33.6,42.0,0.0,0.0,100%
CONCEIÇÃO DE MACABU,17.0,31.2,51.8,0.0,0.0,100%
CORDEIRO,9.5,19.0,71.4,0.0,0.0,100%
DUAS BARRAS,4.0,2.0,94.0,0.0,0.0,100%
DUQUE DE CAXIAS,19.7,36.0,43.7,0.1,0.5,100%
ENGENHEIRO PAULO DE FRONTIN,8.9,19.5,71.5,0.0,0.0,100%
GUAPIMIRIM,19.3,40.6,40.1,0.0,0.0,100%
IGUABA GRANDE,9.2,20.7,70.1,0.0,0.0,100%
ITABORAÍ,12.8,44.8,42.4,0.0,0.0,100%
ITAGUAÍ,8.6,38.2,53.1,0.0,0.0,100%
ITALVA,13.0,22.0,65.0,0.0,0.0,100%
ITAOCARA,13.5,6.8,79.7,0.0,0.0,100%
ITAPERUNA,10.0,45.0,45.0,0.0,0.0,100%
ITATIAIA,12.7,25.5,61.4,0.0,0.5,100%
JAPERI,13.6,51.3,34.7,0.3,0.0,100%
LAJE DO MURIAÉ,27.3,28.3,44.4,0.0,0.0,100%
MACAÉ,12.9,33.8,53.2,0.0,0.0,100%
MACUCO,28.8,18.6,52.5,0.0,0.0,100%
MAGÉ,16.6,37.8,45.6,0.0,0.0,100%
MANGARATIBA,13.5,41.4,44.3,0.4,0.4,100%
MARICÁ,9.6,31.1,59.4,0.0,0.0,100%
MENDES,10.0,28.7,61.3,0.0,0.0,100%
MESQUITA,15.7,47.5,36.7,0.0,0.0,100%
MIGUEL PEREIRA,11.6,22.7,65.7,0.0,0.0,100%
MIRACEMA,18.9,34.5,46.6,0.0,0.0,100%
NATIVIDADE,10.8,23.7,65.6,0.0,0.0,100%
NILÓPOLIS,18.3,32.2,49.5,0.0,0.0,100%
NITERÓI,16.9,17.9,64.9,0.0,0.3,100%
NOVA FRIBURGO,9.4,16.9,73.7,0.0,0.0,100%
NOVA IGUAÇU,17.1,31.9,50.8,0.3,0.0,100%
PARACAMBI,10.4,46.1,43.5,0.0,0.0,100%
PARATY,3.2,40.0,54.2,2.6,0.0,100%
PARAÍBA DO SUL,16.1,31.8,52.1,0.0,0.0,100%
PATY DO ALFERES,10.3,30.3,59.5,0.0,0.0,100%
PETRÓPOLIS,10.9,13.9,75.2,0.0,0.0,100%
PINHEIRAL,14.4,41.6,44.0,0.0,0.0,100%
PIRAÍ,19.0,23.9,57.1,0.0,0.0,100%
PORCIÚNCULA,25.0,14.3,60.7,0.0,0.0,100%
PORTO REAL,11.9,25.2,62.9,0.0,0.0,100%
QUATIS,19.3,24.8,55.0,0.9,0.0,100%
