,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
ADAMANTINA,26,33.3,52,66.7,55,70.5,21.0,26.9,2.0,2.6,0.0,0.0,34,43.6,23,29.5,21.0,26.9,0.0,0.0
ADOLFO,15,32.6,31,67.4,40,87.0,6.0,13.0,0.0,0.0,0.0,0.0,22,47.8,10,21.7,11.0,23.9,3.0,6.5
AGUAÍ,63,32.6,130,67.4,165,85.5,28.0,14.5,0.0,0.0,0.0,0.0,76,39.4,76,39.4,41.0,21.2,0.0,0.0
AGUDOS,49,32.7,101,67.3,96,64.0,54.0,36.0,0.0,0.0,0.0,0.0,80,53.3,41,27.3,27.0,18.0,2.0,1.3
ALAMBARI,14,32.6,29,67.4,34,79.1,9.0,20.9,0.0,0.0,0.0,0.0,14,32.6,21,48.8,8.0,18.6,0.0,0.0
ALFREDO MARCONDES,15,33.3,30,66.7,27,60.0,18.0,40.0,0.0,0.0,0.0,0.0,23,51.1,18,40.0,4.0,8.9,0.0,0.0
ALTAIR,16,35.6,29,64.4,28,62.2,17.0,37.8,0.0,0.0,0.0,0.0,27,60.0,17,37.8,1.0,2.2,0.0,0.0
ALTINÓPOLIS,37,30.8,83,69.2,85,70.8,35.0,29.2,0.0,0.0,0.0,0.0,45,37.5,56,46.7,18.0,15.0,1.0,0.8
ALTO ALEGRE,9,33.3,18,66.7,22,81.5,5.0,18.5,0.0,0.0,0.0,0.0,9,33.3,10,37.0,8.0,29.6,0.0,0.0
ALUMÍNIO,48,36.1,85,63.9,79,59.4,54.0,40.6,0.0,0.0,0.0,0.0,64,48.1,29,21.8,35.0,26.3,5.0,3.8
