,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
DEMOCRATAS,1445,33.1,2926,66.9,3291,75.3,1060.0,24.3,16.0,0.4,4.0,0.1,1908.0,43.7,1247.0,28.5,1135,26.0,81.0,1.9
PARTIDO COMUNISTA BRASILEIRO,2,50.0,2,50.0,4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,100.0,0.0,0.0
PARTIDO COMUNISTA DO BRASIL,467,32.7,962,67.3,858,60.0,565.0,39.5,4.0,0.3,2.0,0.1,646.0,45.2,342.0,23.9,416,29.1,25.0,1.7
PARTIDO DA CAUSA OPERÁRIA,9,52.9,8,47.1,11,64.7,5.0,29.4,1.0,5.9,0.0,0.0,9.0,52.9,0.0,0.0,7,41.2,1.0,5.9
PARTIDO DA MOBILIZAÇÃO NACIONAL,274,32.0,583,68.0,590,68.8,262.0,30.6,5.0,0.6,0.0,0.0,404.0,47.1,234.0,27.3,207,24.2,12.0,1.4
PARTIDO DA MULHER BRASILEIRA,421,43.1,556,56.9,647,66.2,326.0,33.4,4.0,0.4,0.0,0.0,451.0,46.2,261.0,26.7,247,25.3,18.0,1.8
PARTIDO DA REPÚBLICA,1255,32.4,2617,67.6,2829,73.1,1015.0,26.2,26.0,0.7,2.0,0.1,1691.0,43.7,1045.0,27.0,1065,27.5,71.0,1.8
PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,2354,33.5,4676,66.5,5542,78.8,1441.0,20.5,43.0,0.6,4.0,0.1,2892.0,41.1,1733.0,24.7,2247,32.0,158.0,2.2
PARTIDO DEMOCRÁTICO TRABALHISTA,925,32.0,1965,68.0,2136,73.9,744.0,25.7,8.0,0.3,2.0,0.1,1298.0,44.9,779.0,27.0,750,26.0,63.0,2.2
PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,1817,32.7,3733,67.3,4255,76.7,1278.0,23.0,13.0,0.2,4.0,0.1,2340.0,42.2,1569.0,28.3,1528,27.5,113.0,2.0
PARTIDO DOS TRABALHADORES,1050,35.1,1940,64.9,2009,67.2,968.0,32.4,5.0,0.2,8.0,0.3,1168.0,39.1,707.0,23.6,1035,34.6,79.0,2.6
PARTIDO ECOLÓGICO NACIONAL,812,33.7,1599,66.3,1734,71.9,669.0,27.7,5.0,0.2,3.0,0.1,1091.0,45.3,701.0,29.1,560,23.2,59.0,2.4
PARTIDO HUMANISTA DA SOLIDARIEDADE,593,32.0,1259,68.0,1316,71.1,528.0,28.5,7.0,0.4,1.0,0.1,847.0,45.7,526.0,28.4,441,23.8,38.0,2.1
PARTIDO NOVO,15,33.3,30,66.7,43,95.6,2.0,4.4,0.0,0.0,0.0,0.0,1.0,2.2,0.0,0.0,44,97.8,0.0,0.0
PARTIDO POPULAR SOCIALISTA,1198,32.0,2540,68.0,2756,73.7,965.0,25.8,14.0,0.4,3.0,0.1,1634.0,43.7,970.0,25.9,1047,28.0,87.0,2.3
PARTIDO PROGRESSISTA,842,32.2,1769,67.8,1933,74.0,667.0,25.5,11.0,0.4,0.0,0.0,1173.0,44.9,731.0,28.0,633,24.2,74.0,2.8
PARTIDO PÁTRIA LIVRE,149,35.2,274,64.8,251,59.3,171.0,40.4,1.0,0.2,0.0,0.0,172.0,40.7,108.0,25.5,138,32.6,5.0,1.2
PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,313,32.0,665,68.0,689,70.4,277.0,28.3,10.0,1.0,2.0,0.2,459.0,46.9,257.0,26.3,234,23.9,28.0,2.9
PARTIDO REPUBLICANO BRASILEIRO,1154,32.9,2350,67.1,2461,70.2,1032.0,29.5,9.0,0.3,2.0,0.1,1580.0,45.1,1034.0,29.5,820,23.4,70.0,2.0
PARTIDO REPUBLICANO DA ORDEM SOCIAL,534,31.6,1154,68.4,1187,70.3,493.0,29.2,7.0,0.4,1.0,0.1,808.0,47.9,428.0,25.4,415,24.6,37.0,2.2
PARTIDO REPUBLICANO PROGRESSISTA,626,31.5,1361,68.5,1386,69.8,593.0,29.8,6.0,0.3,2.0,0.1,914.0,46.0,576.0,29.0,436,21.9,61.0,3.1
PARTIDO SOCIAL CRISTÃO,801,31.5,1743,68.5,1761,69.2,773.0,30.4,10.0,0.4,0.0,0.0,1209.0,47.5,674.0,26.5,615,24.2,45.0,1.8
PARTIDO SOCIAL DEMOCRATA CRISTÃO,403,33.6,795,66.4,823,68.6,372.0,31.0,3.0,0.3,0.0,0.0,561.0,46.8,283.0,23.6,320,26.7,34.0,2.8
PARTIDO SOCIAL DEMOCRÁTICO,1521,32.8,3113,67.2,3530,76.2,1086.0,23.4,17.0,0.4,1.0,0.0,1995.0,43.1,1263.0,27.3,1281,27.6,95.0,2.1
PARTIDO SOCIAL LIBERAL,536,32.4,1116,67.6,1146,69.4,500.0,30.3,6.0,0.4,0.0,0.0,810.0,49.0,436.0,26.4,369,22.3,37.0,2.2
PARTIDO SOCIALISMO E LIBERDADE,367,35.0,682,65.0,672,64.1,371.0,35.4,1.0,0.1,5.0,0.5,386.0,36.8,202.0,19.3,452,43.1,9.0,0.9
PARTIDO SOCIALISTA BRASILEIRO,1389,32.4,2901,67.6,3148,73.4,1123.0,26.2,16.0,0.4,3.0,0.1,1844.0,43.0,1106.0,25.8,1258,29.3,82.0,1.9
PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,18,42.9,24,57.1,24,57.1,14.0,33.3,1.0,2.4,3.0,7.1,14.0,33.3,1.0,2.4,27,64.3,0.0,0.0
PARTIDO TRABALHISTA BRASILEIRO,1644,32.7,3388,67.3,3792,75.4,1216.0,24.2,23.0,0.5,1.0,0.0,2211.0,43.9,1415.0,28.1,1320,26.2,86.0,1.7
PARTIDO TRABALHISTA CRISTÃO,319,31.8,683,68.2,684,68.3,312.0,31.1,6.0,0.6,0.0,0.0,468.0,46.7,289.0,28.8,213,21.3,32.0,3.2
PARTIDO TRABALHISTA DO BRASIL,286,34.3,548,65.7,575,68.9,256.0,30.7,2.0,0.2,1.0,0.1,414.0,49.6,232.0,27.8,176,21.1,12.0,1.4
PARTIDO TRABALHISTA NACIONAL,661,32.5,1370,67.5,1392,68.5,628.0,30.9,7.0,0.3,4.0,0.2,933.0,45.9,551.0,27.1,494,24.3,53.0,2.6
PARTIDO VERDE,1601,33.7,3153,66.3,3636,76.5,1097.0,23.1,19.0,0.4,2.0,0.0,2066.0,43.5,1058.0,22.3,1542,32.4,88.0,1.9
REDE SUSTENTABILIDADE,213,32.8,437,67.2,477,73.4,170.0,26.2,2.0,0.3,1.0,0.2,238.0,36.6,88.0,13.5,319,49.1,5.0,0.8
SOLIDARIEDADE,1023,32.6,2114,67.4,2235,71.2,890.0,28.4,8.0,0.3,4.0,0.1,1392.0,44.4,889.0,28.3,783,25.0,73.0,2.3
