,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
ANADIA,13,33.3,26,66.7,14.0,35.9,25,64.1,0.0,0.0,0.0,0.0,14,35.9,3,7.7,17,43.6,5.0,12.8
ARAPIRACA,68,31.5,148,68.5,54.0,25.0,162,75.0,0.0,0.0,0.0,0.0,93,43.1,58,26.9,64,29.6,1.0,0.5
ATALAIA,30,33.7,59,66.3,21.0,23.6,68,76.4,0.0,0.0,0.0,0.0,39,43.8,19,21.3,29,32.6,2.0,2.2
BARRA DE SANTO ANTÔNIO,32,34.0,62,66.0,26.0,27.7,68,72.3,0.0,0.0,0.0,0.0,45,47.9,28,29.8,18,19.1,3.0,3.2
BARRA DE SÃO MIGUEL,22,31.0,49,69.0,29.0,40.8,41,57.7,1.0,1.4,0.0,0.0,26,36.6,23,32.4,21,29.6,1.0,1.4
BATALHA,17,32.7,35,67.3,29.0,55.8,23,44.2,0.0,0.0,0.0,0.0,21,40.4,13,25.0,15,28.8,3.0,5.8
BELO MONTE,8,29.6,19,70.4,13.0,48.1,14,51.9,0.0,0.0,0.0,0.0,13,48.1,11,40.7,3,11.1,0.0,0.0
BELÉM,14,31.1,31,68.9,4.0,8.9,41,91.1,0.0,0.0,0.0,0.0,16,35.6,18,40.0,10,22.2,1.0,2.2
BOCA DA MATA,29,32.2,61,67.8,27.0,30.0,62,68.9,0.0,0.0,1.0,1.1,47,52.2,16,17.8,24,26.7,3.0,3.3
BRANQUINHA,17,32.7,35,67.3,9.0,17.3,43,82.7,0.0,0.0,0.0,0.0,22,42.3,20,38.5,8,15.4,2.0,3.8
CACIMBINHAS,9,37.5,15,62.5,13.0,54.2,11,45.8,0.0,0.0,0.0,0.0,5,20.8,8,33.3,11,45.8,0.0,0.0
CAJUEIRO,24,31.2,53,68.8,15.0,19.5,62,80.5,0.0,0.0,0.0,0.0,43,55.8,12,15.6,21,27.3,1.0,1.3
CAMPESTRE,18,34.0,35,66.0,1.0,1.9,47,88.7,5.0,9.4,0.0,0.0,24,45.3,23,43.4,4,7.5,2.0,3.8
CAMPO ALEGRE,15,31.2,33,68.8,12.0,25.0,36,75.0,0.0,0.0,0.0,0.0,19,39.6,17,35.4,12,25.0,0.0,0.0
CAMPO GRANDE,10,37.0,17,63.0,10.0,37.0,17,63.0,0.0,0.0,0.0,0.0,12,44.4,11,40.7,2,7.4,2.0,7.4
CANAPI,18,34.0,35,66.0,28.0,52.8,21,39.6,0.0,0.0,4.0,7.5,20,37.7,28,52.8,4,7.5,1.0,1.9
CAPELA,14,31.8,30,68.2,11.0,25.0,33,75.0,0.0,0.0,0.0,0.0,22,50.0,12,27.3,10,22.7,0.0,0.0
CARNEIROS,19,33.9,37,66.1,0.0,0.0,56,100.0,0.0,0.0,0.0,0.0,27,48.2,20,35.7,4,7.1,5.0,8.9
CHÃ PRETA,10,33.3,20,66.7,5.0,16.7,24,80.0,1.0,3.3,0.0,0.0,14,46.7,7,23.3,8,26.7,1.0,3.3
COITÉ DO NÓIA,11,34.4,21,65.6,6.0,18.8,26,81.2,0.0,0.0,0.0,0.0,17,53.1,13,40.6,2,6.2,0.0,0.0
COLÔNIA LEOPOLDINA,19,33.3,38,66.7,4.0,7.0,52,91.2,1.0,1.8,0.0,0.0,25,43.9,20,35.1,11,19.3,1.0,1.8
