,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
DEMOCRATAS,106,36.4,185,63.6,95,32.6,192,66.0,0.0,0.0,4.0,1.4,142.0,48.8,64.0,22.0,81,27.8,4.0,1.4
PARTIDO COMUNISTA DO BRASIL,33,33.7,65,66.3,22,22.4,71,72.4,1.0,1.0,4.0,4.1,51.0,52.0,15.0,15.3,32,32.7,0.0,0.0
PARTIDO DA MOBILIZAÇÃO NACIONAL,69,32.5,143,67.5,56,26.4,156,73.6,0.0,0.0,0.0,0.0,94.0,44.3,66.0,31.1,47,22.2,5.0,2.4
PARTIDO DA MULHER BRASILEIRA,16,42.1,22,57.9,17,44.7,21,55.3,0.0,0.0,0.0,0.0,17.0,44.7,10.0,26.3,9,23.7,2.0,5.3
PARTIDO DA REPÚBLICA,67,32.4,140,67.6,56,27.1,146,70.5,3.0,1.4,2.0,1.0,104.0,50.2,58.0,28.0,41,19.8,4.0,1.9
PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,140,37.0,238,63.0,101,26.7,270,71.4,5.0,1.3,2.0,0.5,165.0,43.7,102.0,27.0,98,25.9,13.0,3.4
PARTIDO DEMOCRÁTICO TRABALHISTA,93,29.5,222,70.5,101,32.1,214,67.9,0.0,0.0,0.0,0.0,153.0,48.6,71.0,22.5,81,25.7,10.0,3.2
PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,278,33.5,553,66.5,265,31.9,562,67.6,4.0,0.5,0.0,0.0,393.0,47.3,199.0,23.9,210,25.3,29.0,3.5
PARTIDO DOS TRABALHADORES,79,34.5,150,65.5,60,26.2,168,73.4,1.0,0.4,0.0,0.0,82.0,35.8,63.0,27.5,77,33.6,7.0,3.1
PARTIDO ECOLÓGICO NACIONAL,28,28.0,72,72.0,35,35.0,64,64.0,1.0,1.0,0.0,0.0,50.0,50.0,25.0,25.0,21,21.0,4.0,4.0
PARTIDO HUMANISTA DA SOLIDARIEDADE,70,31.8,150,68.2,57,25.9,160,72.7,1.0,0.5,2.0,0.9,100.0,45.5,71.0,32.3,43,19.5,6.0,2.7
PARTIDO POPULAR SOCIALISTA,101,35.3,185,64.7,82,28.7,202,70.6,0.0,0.0,2.0,0.7,140.0,49.0,79.0,27.6,62,21.7,5.0,1.7
PARTIDO PROGRESSISTA,145,34.3,278,65.7,116,27.4,300,70.9,7.0,1.7,0.0,0.0,168.0,39.7,153.0,36.2,87,20.6,15.0,3.5
