,Unnamed: 0,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE,VR_DESPESA_MAX_CAMPANHA
0,0,VEREADOR,VALDILENE SOARES,#NULO#,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,NEGRA,36,SUPERIOR COMPLETO,JACARÉ DOS HOMENS,-1
1,1,VEREADOR,REGINALDO SOARES DOS SANTOS,#NULO#,PARTIDO TRABALHISTA NACIONAL,MASCULINO,NEGRA,42,ENSINO FUNDAMENTAL INCOMPLETO,TEOTÔNIO VILELA,-1
2,2,VEREADOR,MARCELO LINS PEREIRA,#NULO#,PARTIDO DA MOBILIZAÇÃO NACIONAL,MASCULINO,BRANCA,35,SUPERIOR INCOMPLETO,PENEDO,-1
3,3,VEREADOR,DEICIANE MANDU VILELA,#NULO#,PARTIDO COMUNISTA DO BRASIL,FEMININO,NEGRA,34,ENSINO MÉDIO COMPLETO,SÃO SEBASTIÃO,-1
4,4,VEREADOR,PETRUCIO DA SILVA ABREU,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,NEGRA,43,SUPERIOR COMPLETO,CAJUEIRO,0
5,5,VEREADOR,CLINIO TACIO DOS SANTOS SILVA,#NULO#,PARTIDO SOCIAL LIBERAL,MASCULINO,NEGRA,40,ENSINO MÉDIO COMPLETO,MARECHAL DEODORO,0
6,6,VEREADOR,AFRANIO JORGE OMENA DA SILVA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,NEGRA,76,SUPERIOR COMPLETO,PILAR,-1
7,7,VEREADOR,MARIFRAN SOARES VIEIRA SANDES,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,FEMININO,BRANCA,43,ENSINO MÉDIO INCOMPLETO,SÃO BRÁS,-1
8,8,VEREADOR,CASSIA JANE DA SILVA COSTA,#NULO#,PARTIDO DA MOBILIZAÇÃO NACIONAL,FEMININO,BRANCA,37,ENSINO FUNDAMENTAL COMPLETO,JUNDIÁ,-1
9,9,VEREADOR,ANTONIETA VERCOSA SANTOS,#NULO#,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,NEGRA,52,ENSINO FUNDAMENTAL COMPLETO,SÃO MIGUEL DOS MILAGRES,-1
10,10,VEREADOR,JOSÉ WILLAMS DE OLIVEIRA SANTOS,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,39,ENSINO MÉDIO COMPLETO,PILAR,0
11,11,VEREADOR,MONICLECIA SILVA SANTOS,#NULO#,PARTIDO VERDE,FEMININO,NEGRA,34,ENSINO MÉDIO COMPLETO,COITÉ DO NÓIA,-1
12,12,VEREADOR,ELIANE JOAQUIM DA SILVA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FEMININO,NEGRA,33,ENSINO MÉDIO COMPLETO,BELÉM,-1
13,13,VEREADOR,RUI CALAZANS FIGUEREDO,#NULO#,PARTIDO PROGRESSISTA,MASCULINO,NEGRA,61,LÊ E ESCREVE,PORTO DE PEDRAS,-1
14,14,VEREADOR,JOSE IVONALDO E SILVA,#NULO#,SOLIDARIEDADE,MASCULINO,BRANCA,47,SUPERIOR COMPLETO,JUNQUEIRO,-1
15,15,VEREADOR,ADILSON GOMES DA SILVA,#NULO#,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,NEGRA,42,ENSINO FUNDAMENTAL INCOMPLETO,IBATEGUARA,0
