,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
ABARÉ,14,32.6,29,67.4,6.0,14.0,34,79.1,1.0,2.3,2.0,4.7,18,41.9,11,25.6,14,32.6,0.0,0.0
ABAÍRA,9,37.5,15,62.5,10.0,41.7,10,41.7,4.0,16.7,0.0,0.0,13,54.2,6,25.0,2,8.3,3.0,12.5
ACAJUTIBA,34,37.8,56,62.2,6.0,6.7,84,93.3,0.0,0.0,0.0,0.0,60,66.7,18,20.0,12,13.3,0.0,0.0
ADUSTINA,15,31.9,32,68.1,24.0,51.1,23,48.9,0.0,0.0,0.0,0.0,24,51.1,14,29.8,5,10.6,4.0,8.5
AIQUARA,13,32.5,27,67.5,4.0,10.0,36,90.0,0.0,0.0,0.0,0.0,22,55.0,13,32.5,5,12.5,0.0,0.0
ALAGOINHAS,108,32.5,224,67.5,25.0,7.5,307,92.5,0.0,0.0,0.0,0.0,190,57.2,42,12.7,68,20.5,32.0,9.6
ALCOBAÇA,38,33.3,76,66.7,25.0,21.9,89,78.1,0.0,0.0,0.0,0.0,57,50.0,37,32.5,20,17.5,0.0,0.0
ALMADINA,16,34.0,31,66.0,5.0,10.6,42,89.4,0.0,0.0,0.0,0.0,14,29.8,19,40.4,14,29.8,0.0,0.0
AMARGOSA,41,33.3,82,66.7,13.0,10.6,110,89.4,0.0,0.0,0.0,0.0,51,41.5,40,32.5,20,16.3,12.0,9.8
AMÉLIA RODRIGUES,54,33.1,109,66.9,8.0,4.9,155,95.1,0.0,0.0,0.0,0.0,103,63.2,20,12.3,38,23.3,2.0,1.2
AMÉRICA DOURADA,19,31.7,41,68.3,9.0,15.0,51,85.0,0.0,0.0,0.0,0.0,38,63.3,14,23.3,8,13.3,0.0,0.0
ANAGÉ,23,33.8,45,66.2,11.0,16.2,57,83.8,0.0,0.0,0.0,0.0,20,29.4,21,30.9,19,27.9,8.0,11.8
ANDARAÍ,19,35.2,35,64.8,2.0,3.7,52,96.3,0.0,0.0,0.0,0.0,27,50.0,8,14.8,18,33.3,1.0,1.9
ANDORINHA,26,34.2,50,65.8,10.0,13.2,66,86.8,0.0,0.0,0.0,0.0,25,32.9,36,47.4,8,10.5,7.0,9.2
ANGICAL,22,31.9,47,68.1,25.0,36.2,44,63.8,0.0,0.0,0.0,0.0,29,42.0,17,24.6,21,30.4,2.0,2.9
ANGUERA,16,32.0,34,68.0,7.0,14.0,43,86.0,0.0,0.0,0.0,0.0,29,58.0,16,32.0,5,10.0,0.0,0.0
ANTAS,10,31.2,22,68.8,16.0,50.0,16,50.0,0.0,0.0,0.0,0.0,21,65.6,6,18.8,3,9.4,2.0,6.2
ANTÔNIO CARDOSO,21,32.8,43,67.2,10.0,15.6,54,84.4,0.0,0.0,0.0,0.0,32,50.0,12,18.8,15,23.4,5.0,7.8
ANTÔNIO GONÇALVES,11,33.3,22,66.7,6.0,18.2,27,81.8,0.0,0.0,0.0,0.0,20,60.6,11,33.3,2,6.1,0.0,0.0
APORÁ,15,35.7,27,64.3,16.0,38.1,26,61.9,0.0,0.0,0.0,0.0,17,40.5,12,28.6,11,26.2,2.0,4.8
APUAREMA,14,35.0,26,65.0,16.0,40.0,24,60.0,0.0,0.0,0.0,0.0,21,52.5,15,37.5,3,7.5,1.0,2.5
ARACATU,9,32.1,19,67.9,13.0,46.4,15,53.6,0.0,0.0,0.0,0.0,7,25.0,15,53.6,6,21.4,0.0,0.0
ARACI,51,43.2,67,56.8,44.0,37.3,73,61.9,1.0,0.8,0.0,0.0,59,50.0,23,19.5,32,27.1,4.0,3.4
