,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
DEMOCRATAS,662,34.9,1233,65.1,439,23.2,1449,76.5,4.0,0.2,3.0,0.2,950,50.1,499.0,26.3,359,18.9,87.0,4.6
PARTIDO COMUNISTA DO BRASIL,538,33.8,1052,66.2,308,19.4,1266,79.6,10.0,0.6,6.0,0.4,754,47.4,410.0,25.8,366,23.0,60.0,3.8
PARTIDO DA CAUSA OPERÁRIA,1,33.3,2,66.7,1,33.3,2,66.7,0.0,0.0,0.0,0.0,2,66.7,0.0,0.0,1,33.3,0.0,0.0
PARTIDO DA MOBILIZAÇÃO NACIONAL,54,32.3,113,67.7,24,14.4,140,83.8,2.0,1.2,1.0,0.6,84,50.3,37.0,22.2,41,24.6,5.0,3.0
PARTIDO DA MULHER BRASILEIRA,172,43.3,225,56.7,52,13.1,344,86.6,1.0,0.3,0.0,0.0,217,54.7,94.0,23.7,77,19.4,9.0,2.3
PARTIDO DA REPÚBLICA,424,33.8,832,66.2,270,21.5,979,77.9,4.0,0.3,3.0,0.2,626,49.8,391.0,31.1,200,15.9,39.0,3.1
PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,530,33.3,1061,66.7,376,23.6,1204,75.7,5.0,0.3,6.0,0.4,786,49.4,405.0,25.5,350,22.0,50.0,3.1
PARTIDO DEMOCRÁTICO TRABALHISTA,467,30.8,1049,69.2,275,18.1,1230,81.1,2.0,0.1,9.0,0.6,715,47.2,432.0,28.5,310,20.4,59.0,3.9
PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,730,34.2,1406,65.8,459,21.5,1658,77.6,10.0,0.5,9.0,0.4,1023,47.9,621.0,29.1,431,20.2,61.0,2.9
PARTIDO DOS TRABALHADORES,715,35.8,1283,64.2,403,20.2,1582,79.2,6.0,0.3,7.0,0.4,964,48.2,410.0,20.5,566,28.3,58.0,2.9
PARTIDO ECOLÓGICO NACIONAL,233,33.4,464,66.6,108,15.5,588,84.4,0.0,0.0,1.0,0.1,360,51.6,183.0,26.3,126,18.1,28.0,4.0
PARTIDO HUMANISTA DA SOLIDARIEDADE,256,31.3,561,68.7,143,17.5,671,82.1,3.0,0.4,0.0,0.0,435,53.2,204.0,25.0,149,18.2,29.0,3.5
PARTIDO POPULAR SOCIALISTA,270,29.4,647,70.6,166,18.1,745,81.2,4.0,0.4,2.0,0.2,469,51.1,231.0,25.2,192,20.9,25.0,2.7
PARTIDO PROGRESSISTA,687,31.1,1523,68.9,447,20.2,1755,79.4,7.0,0.3,1.0,0.0,1124,50.9,601.0,27.2,402,18.2,83.0,3.8
PARTIDO PÁTRIA LIVRE,123,32.5,255,67.5,43,11.4,328,86.8,3.0,0.8,4.0,1.1,227,60.1,72.0,19.0,67,17.7,12.0,3.2
PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,135,32.7,278,67.3,45,10.9,364,88.1,4.0,1.0,0.0,0.0,230,55.7,102.0,24.7,64,15.5,17.0,4.1
PARTIDO REPUBLICANO BRASILEIRO,493,34.0,955,66.0,238,16.4,1200,82.9,6.0,0.4,4.0,0.3,777,53.7,388.0,26.8,247,17.1,36.0,2.5
PARTIDO REPUBLICANO DA ORDEM SOCIAL,227,33.1,458,66.9,96,14.0,586,85.5,2.0,0.3,1.0,0.1,338,49.3,198.0,28.9,119,17.4,30.0,4.4
PARTIDO REPUBLICANO PROGRESSISTA,161,30.5,367,69.5,96,18.2,431,81.6,1.0,0.2,0.0,0.0,266,50.4,153.0,29.0,96,18.2,13.0,2.5
PARTIDO SOCIAL CRISTÃO,436,31.3,955,68.7,239,17.2,1147,82.5,4.0,0.3,1.0,0.1,732,52.6,331.0,23.8,289,20.8,39.0,2.8
PARTIDO SOCIAL DEMOCRATA CRISTÃO,125,29.3,302,70.7,84,19.7,342,80.1,0.0,0.0,1.0,0.2,215,50.4,112.0,26.2,90,21.1,10.0,2.3
PARTIDO SOCIAL DEMOCRÁTICO,856,30.8,1921,69.2,627,22.6,2128,76.6,13.0,0.5,9.0,0.3,1389,50.0,778.0,28.0,515,18.5,95.0,3.4
PARTIDO SOCIAL LIBERAL,438,32.5,911,67.5,263,19.5,1083,80.3,2.0,0.1,1.0,0.1,701,52.0,357.0,26.5,243,18.0,48.0,3.6
PARTIDO SOCIALISMO E LIBERDADE,162,36.0,288,64.0,52,11.6,398,88.4,0.0,0.0,0.0,0.0,232,51.6,106.0,23.6,99,22.0,13.0,2.9
PARTIDO SOCIALISTA BRASILEIRO,531,32.6,1096,67.4,292,17.9,1323,81.3,8.0,0.5,4.0,0.2,809,49.7,448.0,27.5,333,20.5,37.0,2.3
PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,2,33.3,4,66.7,1,16.7,5,83.3,0.0,0.0,0.0,0.0,1,16.7,0.0,0.0,5,83.3,0.0,0.0
PARTIDO TRABALHISTA BRASILEIRO,319,33.6,629,66.4,233,24.6,702,74.1,10.0,1.1,3.0,0.3,489,51.6,236.0,24.9,192,20.3,31.0,3.3
PARTIDO TRABALHISTA CRISTÃO,344,34.7,647,65.3,199,20.1,788,79.5,3.0,0.3,1.0,0.1,526,53.1,247.0,24.9,188,19.0,30.0,3.0
PARTIDO TRABALHISTA DO BRASIL,169,33.7,333,66.3,80,15.9,421,83.9,1.0,0.2,0.0,0.0,249,49.6,153.0,30.5,84,16.7,16.0,3.2
PARTIDO TRABALHISTA NACIONAL,389,33.4,777,66.6,263,22.6,898,77.0,3.0,0.3,2.0,0.2,596,51.1,287.0,24.6,232,19.9,51.0,4.4
PARTIDO VERDE,279,32.6,576,67.4,172,20.1,677,79.2,5.0,0.6,1.0,0.1,452,52.9,202.0,23.6,192,22.5,9.0,1.1
REDE SUSTENTABILIDADE,65,31.4,142,68.6,55,26.6,149,72.0,0.0,0.0,3.0,1.4,83,40.1,38.0,18.4,84,40.6,2.0,1.0
SOLIDARIEDADE,302,32.5,628,67.5,165,17.7,755,81.2,10.0,1.1,0.0,0.0,467,50.2,265.0,28.5,160,17.2,38.0,4.1
