maisculo,municipios,repr_pret_eleitos,repr_negr_eleitos,inves_negr100,repr_negra100
ABAÍRA,Abaíra,259.875,74,51,"76,73"
ABARÉ,Abaré,88,92,109,"96,53"
ACAJUTIBA,Acajutiba,0,118,112,"122,41"
ADUSTINA,Adustina,326,50,101,"73,96"
ÁGUA FRIA,Água Fria,185,111,100,"106,51"
AIQUARA,Aiquara,46,95,93,"106,94"
ALAGOINHAS,Alagoinhas,49,117,125,"114,25"
ALCOBAÇA,Alcobaça,103,71,60,"94,97"
ALMADINA,Almadina,0,112,74,"110,99"
AMARGOSA,Amargosa,0,118,58,"113,3"
AMÉLIA RODRIGUES,Amélia Rodrigues,30,110,76,"104,72"
AMÉRICA DOURADA,América Dourada,0,111,111,"105,06"
ANAGÉ,Anagé,0,101,112,"126,84"
ANDARAÍ,Andaraí,61,115,50,"110,88"
ANDORINHA,Andorinha,0,127,113,"122,83"
ANGICAL,Angical,0,111,63,"90,88"
ANGUERA,Anguera,118,99,154,"94,6"
ANTAS,Antas,184,114,74,"81,28"
ANTÔNIO CARDOSO,Antônio Cardoso,39,87,116,"92,05"
ANTÔNIO GONÇALVES,Antônio Gonçalves,119,114,103,"104,92"
APORÁ,Aporá,0,49,88,"84,14"
APUAREMA,Apuarema,0,50,173,"75,18"
ARAÇÁS,Araçás,40,92,73,94
ARACATU,Aracatu,381,76,49,"81,19"
ARACI,Araci,171,82,354,"81,18"
ARAMARI,Aramari,124,109,53,"95,84"
ARATACA,Arataca,66,86,58,"106,11"
ARATUÍPE,Aratuípe,128,46,105,"67,55"
AURELINO LEAL,Aurelino Leal,0,104,47,"114,49"
BAIANÓPOLIS,Baianópolis,0,96,22,105
BAIXA GRANDE,Baixa Grande,73,83,105,"106,92"
BANZAÊ,Banzaê,576,99,106,"84,8"
BARRA,Barra,56,78,71,"102,53"
BARRA DA ESTIVA,Barra Da Estiva,127,81,118,"69,06"
BARRA DO CHOÇA,Barra Do Choça,236,91,34,"83,4"
BARRA DO MENDES,Barra Do Mendes,0,70,35,"104,26"
BARRA DO ROCHA,Barra Do Rocha,166,107,69,"108,28"
BARREIRAS,Barreiras,51,113,99,"113,56"
BARRO ALTO,Barro Alto,208,137,34,"108,36"
BARRO PRETO,Barro Preto,69,113,61,"113,37"
BARROCAS,Barrocas,0,130,71,"136,58"
BELMONTE,Belmonte,137,86,109,"86,95"
BELO CAMPO,Belo Campo,250,102,101,"110,11"
BIRITINGA,Biritinga,48,118,110,"105,77"
BOA NOVA,Boa Nova,0,60,109,"98,44"
BOA VISTA DO TUPIM,Boa Vista Do Tupim,95,126,39,"122,25"
