,municipios,repr_pret_eleitos,repr_negr_eleitos,inves_negr100,repr_negra100,codigo_ibge,latitude,longitude
0,Abaíra,259.875,74,51.0,76.73,2900108,-13.2488,-41.6619
1,Abaré,88.0,92,109.0,96.53,2900207,-8.72073,-39.1162
2,Acajutiba,0.0,118,112.0,122.41,2900306,-11.6575,-38.0197
3,Adustina,326.0,50,101.0,73.96,2900355,-10.5437,-38.1113
4,Água Fria,185.0,111,100.0,106.51,2900405,-11.8618,-38.7639
5,Aiquara,46.0,95,93.0,106.94,2900603,-14.1269,-39.8937
6,Alagoinhas,49.0,117,125.0,114.25,2900702,-12.1335,-38.4208
7,Alcobaça,103.0,71,60.0,94.97,2900801,-17.5195,-39.2036
8,Almadina,0.0,112,74.0,110.99,2900900,-14.7089,-39.6415
9,Amargosa,0.0,118,58.0,113.3,2901007,-13.0215,-39.602
10,Amélia Rodrigues,30.0,110,76.0,104.72,2901106,-12.3914,-38.7563
11,América Dourada,0.0,111,111.0,105.06,2901155,-11.4429,-41.43899999999999
12,Anagé,0.0,101,112.0,126.84,2901205,-14.6151,-41.1356
13,Andaraí,61.0,115,50.0,110.88,2901304,-12.8049,-41.3297
14,Andorinha,0.0,127,113.0,122.83,2901353,-10.3482,-39.8391
15,Angical,0.0,111,63.0,90.88,2901403,-12.0063,-44.7003
16,Anguera,118.0,99,154.0,94.6,2901502,-12.1462,-39.2462
17,Antas,184.0,114,74.0,81.28,2901601,-10.3856,-38.3401
18,Antônio Cardoso,39.0,87,116.0,92.05,2901700,-12.4335,-39.1176
19,Antônio Gonçalves,119.0,114,103.0,104.92,2901809,-10.5767,-40.2785
20,Aporá,0.0,49,88.0,84.14,2901908,-11.6577,-38.0814
21,Apuarema,0.0,50,173.0,75.18,2901957,-13.8542,-39.7501
22,Aracatu,381.0,76,49.0,81.19,2902005,-14.427999999999999,-41.4648
23,Araci,171.0,82,354.0,81.18,2902104,-11.3253,-38.9584
24,Aramari,124.0,109,53.0,95.84,2902203,-12.0884,-38.4969
25,Arataca,66.0,86,58.0,106.11,2902252,-15.2651,-39.419000000000004
26,Aratuípe,128.0,46,105.0,67.55,2902302,-13.0716,-39.0038
27,Aurelino Leal,0.0,104,47.0,114.49,2902401,-14.321,-39.329
28,Baianópolis,0.0,96,22.0,105.0,2902500,-12.3016,-44.5388
29,Baixa Grande,73.0,83,105.0,106.92,2902609,-11.9519,-40.169000000000004
30,Banzaê,576.0,99,106.0,84.8,2902658,-10.5788,-38.6212
31,Barra,56.0,78,71.0,102.53,2902708,-11.0859,-43.1459
32,Barreiras,51.0,113,99.0,113.56,2903201,-12.1439,-44.9968
33,Barro Alto,208.0,137,34.0,108.36,2903235,-11.7605,-41.9054
34,Barro Preto,69.0,113,61.0,113.37,2903300,-14.7948,-39.476
35,Barrocas,0.0,130,71.0,136.58,2903276,-11.5272,-39.0776
36,Belmonte,137.0,86,109.0,86.95,2903409,-15.8608,-38.8758
37,Belo Campo,250.0,102,101.0,110.11,2903508,-15.0334,-41.2652
38,Biritinga,48.0,118,110.0,105.77,2903607,-11.6072,-38.8051
