,municipios,repr_pret_eleitos,repr_negr_eleitos,inves_negr100,repr_negra100,codigo_ibge,latitude,longitude
0,ANGRA DOS REIS,72.0,47.2,134.9,72.0,3300100,-23.0011,-44.3196
1,APERIBÉ,47.7,28.8,51.9,75.8,3300159,-21.6252,-42.1017
2,ARARUAMA,30.7,120.3,45.5,63.3,3300209,-22.8697,-42.3326
3,AREAL,125.9,68.8,41.3,44.0,3300225,-22.2283,-43.1118
4,ARMAÇÃO DOS BÚZIOS,96.0,72.4,68.0,85.0,3300233,-22.7528,-41.8846
5,ARRAIAL DO CABO,34.4,19.0,29.8,65.7,3300258,-22.9774,-42.0267
6,BARRA DO PIRAÍ,110.0,133.6,31.0,44.4,3300308,-22.4715,-43.8269
7,BARRA MANSA,147.9,119.1,52.1,72.6,3300407,-22.5481,-44.1752
8,BELFORD ROXO,15.1,62.9,41.4,51.7,3300456,-22.764,-43.3992
9,BOM JARDIM,112.5,77.3,23.6,97.1,3300506,-22.1545,-42.4251
10,BOM JESUS DO ITABAPOANA,45.6,134.0,119.8,87.4,3300605,-21.1449,-41.6822
11,CABO FRIO,100.0,82.7,26.8,80.5,3300704,-22.8894,-42.0286
12,CACHOEIRAS DE MACACU,58.7,135.6,76.1,59.5,3300803,-22.4658,-42.6523
13,CAMBUCI,50.5,27.7,47.6,58.3,3300902,-21.5691,-41.9187
14,CAMPOS DOS GOYTACAZES,151.7,133.7,61.9,66.8,3301009,-21.7622,-41.3181
15,CANTAGALO,72.7,56.9,58.1,46.0,3301108,-21.9797,-42.3664
16,CARAPEBUS,26.4,50.6,125.1,88.6,3300936,-22.1821,-41.663000000000004
17,CARDOSO MOREIRA,149.1,80.3,90.0,92.0,3301157,-21.4846,-41.6165
18,CARMO,35.9,149.5,71.0,110.9,3301207,-21.930999999999997,-42.6046
19,CASIMIRO DE ABREU,20.7,50.2,37.3,97.7,3301306,-22.4812,-42.2066
20,COMENDADOR LEVY GASPARIAN,28.7,18.3,48.8,71.1,3300951,-22.0404,-43.214
21,CONCEIÇÃO DE MACABU,15.8,53.7,28.3,96.1,3301405,-22.0834,-41.8719
22,CORDEIRO,23.0,63.2,52.5,68.0,3301504,-22.0267,-42.3648
23,DUAS BARRAS,103.3,76.5,54.8,83.6,3301603,-22.0536,-42.5232
24,DUQUE DE CAXIAS,94.7,50.1,16.5,98.4,3301702,-22.7858,-43.3049
25,ENGENHEIRO PAULO DE FRONTIN,167.9,67.8,30.6,100.7,3301801,-22.5498,-43.6827
26,GUAPIMIRIM,148.2,84.8,38.7,75.9,3301850,-22.5347,-42.9895
27,IGUABA GRANDE,47.1,86.2,140.8,72.3,3301876,-22.8495,-42.2299
28,ITABORAÍ,43.4,83.3,30.0,95.3,3301900,-22.7565,-42.8639
29,ITAGUAÍ,43.0,80.2,39.2,93.7,3302007,-22.8636,-43.7798
30,ITALVA,76.4,27.4,30.8,108.4,3302056,-21.4296,-41.7014
31,ITAOCARA,114.3,70.3,44.8,91.5,3302106,-21.6748,-42.0758
32,ITAPERUNA,49.0,145.4,30.3,84.8,3302205,-21.1997,-41.8799
