municipios,,repr_pret_eleitos,repr_negr_eleitos,inves_negr100,repr_negra100
ADAMANTINA,Adamantina,"0,00","40,86","50,97",110
ADOLFO,Adolfo,"0,00","0,00","36,03268945",69
AGUAÍ,Aguaí,"133,45","23,16","56,64",47
ÁGUAS DA PRATA,Águas Da Prata,"248,66","124,53","11,72",111
ÁGUAS DE LINDÓIA,Águas De Lindóia,"0,00","0,00","32,98",34
ÁGUAS DE SANTA BÁRBARA,Águas De Santa Bárbara,"0,00","0,00","273,60",42
ÁGUAS DE SÃO PEDRO,Águas De São Pedro,"0,00","0,00","41,62",93
AGUDOS,Agudos,"302,85","81,42","55,12",103
ALAMBARI,Alambari,"525,16","36,78","15,04",77
ALFREDO MARCONDES,Alfredo Marcondes,"0,00","114,22","37,69",152
ALTAIR,Altair,"274,46","129,91","57,96",82
ALTINÓPOLIS,Altinópolis,"171,74","26,17","55,21",92
ALTO ALEGRE,Alto Alegre,"427,29","73,05","141,07",68
ALUMÍNIO,Alumínio,"0,00","72,76","21,19",98
ÁLVARES MACHADO,Álvares Machado,"0,00","125,91","30,75",143
ÁLVARO DE CARVALHO,Álvaro De Carvalho,"97,89","36,61","56,87",31
ALVINLÂNDIA,Alvinlândia,"97,09","101,95","58,07",103
AMERICANA,Americana,"170,81","49,29","28,94",77
AMÉRICO BRASILIENSE,Américo Brasiliense,"0,00","32,64","275,93",76
AMÉRICO DE CAMPOS,Américo De Campos,"1.076,60","196,08","51,65",131
AMPARO,Amparo,"0,00","38,15","86,68",81
ANALÂNDIA,Analândia,"0,00","0,00","68,44",80
ANDRADINA,Andradina,"299,43","64,43","105,61",115
ANGATUBA,Angatuba,"0,00","0,00","24,00",58
ANHEMBI,Anhembi,"0,00","0,00","71,95",64
ANHUMAS,Anhumas,"327,89","51,38","144,83",28
APARECIDA,Aparecida,"241,72","37,26","44,48",96
APIAÍ,Apiaí,"0,00","16,15","33,91",41
ARAÇARIGUAMA,Araçariguama,"0,00","58,55","69,34",48
ARAÇATUBA,Araçatuba,"0,00","96,38","151,16",107
ARAÇOIABA DA SERRA,Araçoiaba Da Serra,"0,00","45,07","21,68",76
ARAMINA,Aramina,"127,52","92,62","33,56",60
ARANDU,Arandu,"0,00","26,07","82,60",29
ARAPEÍ,Arapeí,"0,00","48,41","79,11",97
ARARAQUARA,Araraquara,"86,65","75,96","41,95",91
ARARAS,Araras,"169,51","62,64","32,64",90
ARCO-ÍRIS,Arco-Íris,"0,00","28,60","76,23",65
AREALVA,Arealva,"0,00","43,83","30,83",85
AREIAS,Areias,"0,00","43,71","96,76",50
AREIÓPOLIS,Areiópolis,"0,00","50,02","38,71",67
ARIRANHA,Ariranha,"0,00","0,00","52,78",77
ARTUR NOGUEIRA,Artur Nogueira,"0,00","117,24","55,45",83
ARUJÁ,Arujá,"344,57","106,93","55,38",97
ASSIS,Assis,"183,03","135,01","17,44",73
ATIBAIA,Atibaia,"0,00","63,53","61,76",66
AURIFLAMA,Auriflama,"374,72","76,95","17,10",123
AVAÍ,Avaí,"840,51","73,20","21,00",52
AVANHANDAVA,Avanhandava,"0,00","22,01","30,36",39
AVARÉ,Avaré,"0,00","89,41","62,62",107
BADY BASSITT,Bady Bassitt,"0,00","85,80","3,50",101
BÁLSAMO,Bálsamo,"0,00","0,00","20,54",58
BANANAL,Bananal,"0,00","21,42","32,72",68
BARBOSA,Barbosa,"149,16","43,09","34,75",70
BARIRI,Bariri,"327,42","56,87","29,16",66
BARRA BONITA,Barra Bonita,"0,00","63,15","50,31",90
BARRA DO CHAPÉU,Barra Do Chapéu,"388,44","17,55","35,02",51
BARRA DO TURVO,Barra Do Turvo,"0,00","16,49","37,58",56
BARRETOS,Barretos,"73,11","32,70","19,17",63
BARRINHA,Barrinha,"0,00","43,51","71,87",83
BARUERI,Barueri,"0,00","51,78","25,23",85
BASTOS,Bastos,"0,00","60,02","28,24",84
BATATAIS,Batatais,"374,31","95,46","62,95",90
BAURU,Bauru,"0,00","19,03","107,15",75
BEBEDOURO,Bebedouro,"0,00","57,51","205,79",50
BENTO DE ABREU,Bento De Abreu,"0,00","19,46","188,04",47
BERNARDINO DE CAMPOS,Bernardino De Campos,"0,00","106,79","63,26",79
BERTIOGA,Bertioga,"131,73","38,91","62,70",50
BILAC,Bilac,"0,00","36,20","74,36",128
BIRIGUI,Birigui,"0,00","0,00","151,50",95
BIRITIBA MIRIM,Biritiba Mirim,"0,00","0,00","38,12",74
BOA ESPERANÇA DO SUL,Boa Esperança Do Sul,"0,00","77,25","48.125,00",86
BOCAINA,Bocaina,"0,00","74,50","131,28",97
BOITUVA,Boituva,"0,00","24,01","23,34",66
BOM JESUS DOS PERDÕES,Bom Jesus Dos Perdões,"0,00","69,80","53,39",67
BORÁ,Borá,"268,33","146,81","52,42",113
BORACÉIA,Boracéia,"0,00","81,92","53,49",88
BORBOREMA,Borborema,"0,00","0,00","27,77",28
BOREBI,Borebi,"0,00","55,32","59,66",80
BOTUCATU,Botucatu,"0,00","40,79","36,83",50
BRAGANÇA PAULISTA,Bragança Paulista,"300,64","48,89","22,79",68
BRAÚNA,Braúna,"0,00","0,00","65,87",30
BREJO ALEGRE,Brejo Alegre,"0,00","0,00","45,57",37
BRODOWSKI,Brodowski,"0,00","68,28","214,94",71
BROTAS,Brotas,"210,25","29,38","203,70",73
BURITAMA,Buritama,"0,00","0,00","67,05",22
CABRÁLIA PAULISTA,Cabrália Paulista,"386,28","62,45","17,57",29
CABREÚVA,Cabreúva,"0,00","0,00","31,79",76
CAÇAPAVA,Caçapava,"0,00","162,76","50,55",133
CACHOEIRA PAULISTA,Cachoeira Paulista,"0,00","45,91","22,11",89
CACONDE,Caconde,"0,00","0,00","81,13",26
CAFELÂNDIA,Cafelândia,"227,90","49,49","45,60",74
CAIABU,Caiabu,"0,00","68,78","31,85",95
