,codigo_ibge,nome,latitude,longitude,capital,codigo_uf
30,3500105,Adamantina,-21.682,-51.0737,0,35
32,3500204,Adolfo,-21.2325,-49.6451,0,35
62,3500303,Aguaí,-22.0572,-46.9735,0,35
65,3500402,Águas da Prata,-21.9319,-46.7176,0,35
67,3500501,Águas de Lindóia,-22.4733,-46.6314,0,35
68,3500550,Águas de Santa Bárbara,-22.8812,-49.2421,0,35
69,3500600,Águas de São Pedro,-22.5977,-47.8734,0,35
76,3500709,Agudos,-22.4694,-48.9863,0,35
93,3500758,Alambari,-23.5503,-47.898,0,35
112,3500808,Alfredo Marcondes,-21.9527,-51.413999999999994,0,35
132,3500907,Altair,-20.5242,-49.0571,0,35
139,3501004,Altinópolis,-21.0214,-47.3712,0,35
140,3501103,Alto Alegre,-21.5811,-50.168,0,35
169,3501152,Alumínio,-23.5306,-47.2546,0,35
172,3501202,Álvares Florence,-20.3203,-49.9141,0,35
173,3501301,Álvares Machado,-22.0764,-51.4722,0,35
174,3501400,Álvaro de Carvalho,-22.0841,-49.718999999999994,0,35
175,3501509,Alvinlândia,-22.4435,-49.7623,0,35
198,3501608,Americana,-22.7374,-47.3331,0,35
200,3501707,Américo Brasiliense,-21.7288,-48.1147,0,35
201,3501806,Américo de Campos,-20.2985,-49.7359,0,35
206,3501905,Amparo,-22.7088,-46.772,0,35
215,3502002,Analândia,-22.1289,-47.6619,0,35
230,3502101,Andradina,-20.8948,-51.3786,0,35
233,3502200,Angatuba,-23.4917,-48.4139,0,35
246,3502309,Anhembi,-22.793000000000003,-48.1336,0,35
247,3502408,Anhumas,-22.2934,-51.3895,0,35
269,3502507,Aparecida,-22.8495,-45.2325,0,35
270,3502606,Aparecida d'Oeste,-20.4487,-50.8835,0,35
278,3502705,Apiaí,-24.5108,-48.8443,0,35
295,3502754,Araçariguama,-23.4366,-47.0608,0,35
299,3502804,Araçatuba,-21.2076,-50.4401,0,35
304,3502903,Araçoiaba da Serra,-23.5029,-47.6166,0,35
326,3503000,Aramina,-20.0882,-47.7873,0,35
327,3503109,Arandu,-23.1386,-49.0487,0,35
329,3503158,Arapeí,-22.6717,-44.4441,0,35
342,3503208,Araraquara,-21.7845,-48.178000000000004,0,35
343,3503307,Araras,-22.3572,-47.3842,0,35
361,3503356,Arco-Íris,-21.7728,-50.466,0,35
366,3503406,Arealva,-22.031,-48.9135,0,35
372,3503505,Areias,-22.5786,-44.6992,0,35
373,3503604,Areiópolis,-22.6672,-48.6681,0,35
382,3503703,Ariranha,-21.1872,-48.7904,0,35
400,3503802,Artur Nogueira,-22.5727,-47.1727,0,35
402,3503901,Arujá,-23.3965,-46.32,0,35
406,3503950,Aspásia,-20.16,-50.728,0,35
409,3504008,Assis,-22.66,-50.4183,0,35
421,3504107,Atibaia,-23.1171,-46.5563,0,35
430,3504206,Auriflama,-20.6836,-50.5572,0,35
437,3504305,Avaí,-22.1514,-49.3356,0,35
438,3504404,Avanhandava,-21.4584,-49.9509,0,35
439,3504503,Avaré,-23.1067,-48.9251,0,35
450,3504602,Bady Bassitt,-20.9197,-49.4385,0,35
462,3504701,Balbinos,-21.8963,-49.3619,0,35
473,3504800,Bálsamo,-20.7348,-49.5865,0,35
477,3504909,Bananal,-22.6819,-44.3281,0,35
488,3505005,Barão de Antonina,-23.6284,-49.5634,0,35
499,3505104,Barbosa,-21.2657,-49.9518,0,35
504,3505203,Bariri,-22.073,-48.7438,0,35
507,3505302,Barra Bonita,-22.4909,-48.5583,0,35
518,3505351,Barra do Chapéu,-24.4722,-49.0238,0,35
531,3505401,Barra do Turvo,-24.759,-48.5013,0,35
546,3505500,Barretos,-20.5531,-48.5698,0,35
