,municipios,repr_pret_eleitos,repr_negr_eleitos,inves_negr100,repr_negra100,codigo_ibge,latitude,longitude
0,Adamantina,0.0,40.86,50.97,110,3500105,-21.682,-51.0737
1,Adolfo,0.0,0.0,36.03268945,69,3500204,-21.2325,-49.6451
2,Aguaí,133.45,23.16,56.64,47,3500303,-22.0572,-46.9735
3,Agudos,302.85,81.42,55.12,103,3500709,-22.4694,-48.9863
4,Alambari,525.16,36.78,15.04,77,3500758,-23.5503,-47.898
5,Alfredo Marcondes,0.0,114.22,37.69,152,3500808,-21.9527,-51.413999999999994
6,Altair,274.46,129.91,57.96,82,3500907,-20.5242,-49.0571
7,Altinópolis,171.74,26.17,55.21,92,3501004,-21.0214,-47.3712
8,Alto Alegre,427.29,73.05,141.07,68,3501103,-21.5811,-50.168
9,Alumínio,0.0,72.76,21.19,98,3501152,-23.5306,-47.2546
10,Álvares Machado,0.0,125.91,30.75,143,3501301,-22.0764,-51.4722
11,Alvinlândia,97.09,101.95,58.07,103,3501509,-22.4435,-49.7623
12,Americana,170.81,49.29,28.94,77,3501608,-22.7374,-47.3331
13,Américo Brasiliense,0.0,32.64,275.93,76,3501707,-21.7288,-48.1147
14,Amparo,0.0,38.15,86.68,81,3501905,-22.7088,-46.772
15,Analândia,0.0,0.0,68.44,80,3502002,-22.1289,-47.6619
16,Andradina,299.43,64.43,105.61,115,3502101,-20.8948,-51.3786
17,Angatuba,0.0,0.0,24.0,58,3502200,-23.4917,-48.4139
18,Anhembi,0.0,0.0,71.95,64,3502309,-22.793000000000003,-48.1336
19,Anhumas,327.89,51.38,144.83,28,3502408,-22.2934,-51.3895
20,Aparecida,241.72,37.26,44.48,96,3502507,-22.8495,-45.2325
21,Apiaí,0.0,16.15,33.91,41,3502705,-24.5108,-48.8443
22,Araçariguama,0.0,58.55,69.34,48,3502754,-23.4366,-47.0608
23,Araçatuba,0.0,96.38,151.16,107,3502804,-21.2076,-50.4401
24,Aramina,127.52,92.62,33.56,60,3503000,-20.0882,-47.7873
25,Arandu,0.0,26.07,82.6,29,3503109,-23.1386,-49.0487
26,Arapeí,0.0,48.41,79.11,97,3503158,-22.6717,-44.4441
27,Araraquara,86.65,75.96,41.95,91,3503208,-21.7845,-48.178000000000004
28,Araras,169.51,62.64,32.64,90,3503307,-22.3572,-47.3842
29,Arco-Íris,0.0,28.6,76.23,65,3503356,-21.7728,-50.466
30,Arealva,0.0,43.83,30.83,85,3503406,-22.031,-48.9135
31,Areias,0.0,43.71,96.76,50,3503505,-22.5786,-44.6992
32,Areiópolis,0.0,50.02,38.71,67,3503604,-22.6672,-48.6681
33,Ariranha,0.0,0.0,52.78,77,3503703,-21.1872,-48.7904
34,Artur Nogueira,0.0,117.24,55.45,83,3503802,-22.5727,-47.1727
35,Arujá,344.57,106.93,55.38,97,3503901,-23.3965,-46.32
36,Assis,183.03,135.01,17.44,73,3504008,-22.66,-50.4183
37,Atibaia,0.0,63.53,61.76,66,3504107,-23.1171,-46.5563
38,Auriflama,374.72,76.95,17.1,123,3504206,-20.6836,-50.5572
39,Avaí,840.51,73.2,21.0,52,3504305,-22.1514,-49.3356
40,Avanhandava,0.0,22.01,30.36,39,3504404,-21.4584,-49.9509
41,Avaré,0.0,89.41,62.62,107,3504503,-23.1067,-48.9251
42,Bady Bassitt,0.0,85.8,3.5,101,3504602,-20.9197,-49.4385
43,Bálsamo,0.0,0.0,20.54,58,3504800,-20.7348,-49.5865
44,Bananal,0.0,21.42,32.72,68,3504909,-22.6819,-44.3281
45,Barbosa,149.16,43.09,34.75,70,3505104,-21.2657,-49.9518
46,Bariri,327.42,56.87,29.16,66,3505203,-22.073,-48.7438
47,Barra Bonita,0.0,63.15,50.31,90,3505302,-22.4909,-48.5583
48,Barretos,73.11,32.7,19.17,63,3505500,-20.5531,-48.5698
49,Barrinha,0.0,43.51,71.87,83,3505609,-21.1864,-48.1636
50,Barueri,0.0,51.78,25.23,85,3505708,-23.5057,-46.879
51,Bastos,0.0,60.02,28.24,84,3505807,-21.921,-50.7357
52,Batatais,374.31,95.46,62.95,90,3505906,-20.8929,-47.5921
53,Bauru,0.0,19.03,107.15,75,3506003,-22.3246,-49.0871
54,Bebedouro,0.0,57.51,205.79,50,3506102,-20.9491,-48.4791
55,Bertioga,131.73,38.91,62.7,50,3506359,-23.8486,-46.1396
56,Bilac,0.0,36.2,74.36,128,3506409,-21.404,-50.4746
57,Birigui,0.0,0.0,151.5,95,3506508,-21.291,-50.3432
58,Bocaina,0.0,74.5,131.28,97,3506805,-22.1365,-48.523
59,Boituva,0.0,24.01,23.34,66,3507001,-23.2855,-47.6786
60,Borá,268.33,146.81,52.42,113,3507209,-22.2696,-50.5409
61,Boracéia,0.0,81.92,53.49,88,3507308,-22.1926,-48.7808
62,Borborema,0.0,0.0,27.77,28,3507407,-21.6214,-49.0741
63,Borebi,0.0,55.32,59.66,80,3507456,-22.5728,-48.9707
64,Botucatu,0.0,40.79,36.83,50,3507506,-22.8837,-48.4437
65,Bragança Paulista,300.64,48.89,22.79,68,3507605,-22.9527,-46.5419
66,Braúna,0.0,0.0,65.87,30,3507704,-21.499000000000002,-50.3175
67,Brejo Alegre,0.0,0.0,45.57,37,3507753,-21.1651,-50.1861
68,Brodowski,0.0,68.28,214.94,71,3507803,-20.9845,-47.6572
69,Brotas,210.25,29.38,203.7,73,3507902,-22.2795,-48.1251
70,Buritama,0.0,0.0,67.05,22,3508108,-21.0661,-50.1475
71,Cabrália Paulista,386.28,62.45,17.57,29,3508306,-22.4576,-49.3393
72,Cabreúva,0.0,0.0,31.79,76,3508405,-23.3053,-47.1362
73,Caçapava,0.0,162.76,50.55,133,3508504,-23.0992,-45.7076
74,Cachoeira Paulista,0.0,45.91,22.11,89,3508603,-22.6665,-45.0154
75,Caconde,0.0,0.0,81.13,26,3508702,-21.528000000000002,-46.6437
76,Cafelândia,227.9,49.49,45.6,74,3508801,-21.8031,-49.6092
77,Caiabu,0.0,68.78,31.85,95,3508900,-22.0127,-51.2394
78,Caieiras,0.0,70.65,33.23,96,3509007,-23.3607,-46.7397
79,Caiuá,141.94,134.94,28.18,93,3509106,-21.8322,-51.9969
80,Cajamar,0.0,141.98,19.5,119,3509205,-23.355,-46.8781
81,Cajati,331.84,170.43,124.49,102,3509254,-24.7324,-48.1223
82,Cajobi,0.0,65.51,36.59,111,3509304,-20.8773,-48.8063
83,Cajuru,0.0,36.63,42.47,83,3509403,-21.2749,-47.303000000000004
84,Campinas,42.54,36.37,29.82,96,3509502,-22.9053,-47.0659
85,Campo Limpo Paulista,0.0,20.89,46.94,75,3509601,-23.2078,-46.7889
86,Campos Novos Paulista,0.0,0.0,45.74,87,3509809,-22.601999999999997,-49.9987
87,Cananéia,0.0,52.33,36.27,65,3509908,-25.0144,-47.9341
88,Canas,296.28,93.55,405.76,71,3509957,-22.7003,-45.0521
89,Cândido Mota,0.0,43.58,63.15,104,3510005,-22.7471,-50.3873
90,Canitar,189.96,68.59,61.01,49,3510153,-23.004,-49.7839
91,Capão Bonito,0.0,54.46,32.27,68,3510203,-24.0113,-48.3482
92,Capivari,250.72,66.61,29.75,83,3510401,-22.9951,-47.5071
93,Caraguatatuba,0.0,57.27,134.98,87,3510500,-23.6125,-45.4125
94,Carapicuíba,68.78,105.16,35.5,132,3510609,-23.5235,-46.8407
95,Cardoso,0.0,124.39,73.37,170,3510708,-20.08,-49.9183
96,Casa Branca,0.0,57.41,26.97,54,3510807,-21.7708,-47.0852
97,Castilho,358.13,90.13,105.67,69,3511003,-20.8689,-51.4884
98,Catanduva,0.0,67.12,69.22,108,3511102,-21.1314,-48.977
99,Catiguá,0.0,60.14,48.45,124,3511201,-21.0519,-49.0616
100,Cedral,0.0,0.0,62.97,112,3511300,-20.9009,-49.2664
101,Cerqueira César,0.0,38.95,24.25,54,3511409,-23.038,-49.1655
102,Cerquilho,0.0,164.62,27.29,168,3511508,-23.1665,-47.7459
103,Cesário Lange,0.0,0.0,54.07,35,3511607,-23.226,-47.9545
104,Charqueada,0.0,33.48,81.24,118,3511706,-22.5096,-47.7755
105,Chavantes,247.86,36.52,42.76,66,3557204,-23.0366,-49.7096
106,Clementina,0.0,48.21,25.83,27,3511904,-21.5604,-50.4525
107,Colina,0.0,71.97,71.15,123,3512001,-20.7114,-48.5387
108,Colômbia,0.0,45.82,48.74,61,3512100,-20.1768,-48.6865
109,Conchal,0.0,0.0,24.12,50,3512209,-22.3375,-47.1729
110,Cordeirópolis,387.14,113.66,12.08,71,3512407,-22.4778,-47.4519
111,Coroados,422.42,34.04,25.91,53,3512506,-21.3521,-50.2859
112,Coronel Macedo,423.81,36.91,77.83,14,3512605,-23.6261,-49.31
113,Corumbataí,0.0,0.0,39.19,52,3512704,-22.2213,-47.6215
114,Cosmópolis,0.0,0.0,51.33,68,3512803,-22.6419,-47.1926
115,Cosmorama,0.0,48.55,25.41,108,3512902,-20.4755,-49.7827
116,Cotia,124.54,121.82,78.66,100,3513009,-23.6022,-46.919
117,Cravinhos,0.0,0.0,14.04,42,3513108,-21.338,-47.7324
118,Cristais Paulista,177.29,55.45,24.84,75,3513207,-20.4036,-47.4209
119,Cruzália,0.0,0.0,15.31,15,3513306,-22.7373,-50.7909
